"Região Habilitação Atual","UF Habilitação Atual","Sexo","Faixa Etária","Categoria","Qt. Condutor Histórico"
"Centro-Oeste","Distrito Federal","Masculino","18 a 21","A-Condutor Moto","114"
"Centro-Oeste","Distrito Federal","Masculino","18 a 21","AB-Condutor Moto/Carro","10.239"
"Centro-Oeste","Distrito Federal","Masculino","18 a 21","AC-Condutor Moto/Caminhão","13"
"Centro-Oeste","Distrito Federal","Masculino","18 a 21","AD-Condutor Moto/Ônibus","36"
"Centro-Oeste","Distrito Federal","Masculino","18 a 21","AE-Condutor Moto/Carreta","1"
"Centro-Oeste","Distrito Federal","Masculino","18 a 21","B-Condutor Carro","17.231"
"Centro-Oeste","Distrito Federal","Masculino","18 a 21","C-Condutor Caminhão","6"
"Centro-Oeste","Distrito Federal","Masculino","18 a 21","D-Condutor Ônibus","12"
"Centro-Oeste","Distrito Federal","Masculino","18 a 21","E-Condutor Carreta","1"
"Centro-Oeste","Distrito Federal","Masculino","22 a 25","A-Condutor Moto","446"
"Centro-Oeste","Distrito Federal","Masculino","22 a 25","AB-Condutor Moto/Carro","23.221"
"Centro-Oeste","Distrito Federal","Masculino","22 a 25","AC-Condutor Moto/Caminhão","17"
"Centro-Oeste","Distrito Federal","Masculino","22 a 25","AD-Condutor Moto/Ônibus","1.035"
"Centro-Oeste","Distrito Federal","Masculino","22 a 25","AE-Condutor Moto/Carreta","90"
"Centro-Oeste","Distrito Federal","Masculino","22 a 25","B-Condutor Carro","30.017"
"Centro-Oeste","Distrito Federal","Masculino","22 a 25","C-Condutor Caminhão","8"
"Centro-Oeste","Distrito Federal","Masculino","22 a 25","D-Condutor Ônibus","374"
"Centro-Oeste","Distrito Federal","Masculino","22 a 25","E-Condutor Carreta","31"
"Centro-Oeste","Distrito Federal","Masculino","26 a 30","A-Condutor Moto","816"
"Centro-Oeste","Distrito Federal","Masculino","26 a 30","AB-Condutor Moto/Carro","38.985"
"Centro-Oeste","Distrito Federal","Masculino","26 a 30","AC-Condutor Moto/Caminhão","33"
"Centro-Oeste","Distrito Federal","Masculino","26 a 30","AD-Condutor Moto/Ônibus","3.674"
